"Category","Source","Destination","Purpose","SizeKB"
"project","02_project_inventory_order_fulfillment\inventory_daily_snapshot_raw.csv","data\sample\project\inventory_daily_snapshot_raw.csv","Daily SKU-warehouse inventory snapshots for stockout, availability, coverage, and value.","1075.35"
"project","02_project_inventory_order_fulfillment\inventory_movements_raw.csv","data\sample\project\inventory_movements_raw.csv","Inventory movement transactions for operational traceability.","57.34"
"project","02_project_inventory_order_fulfillment\inventory_policy_history.csv","data\sample\project\inventory_policy_history.csv","Historical reorder point, safety stock, service level, and holding-rate assumptions.","1.35"
"project","02_project_inventory_order_fulfillment\purchase_orders_raw.csv","data\sample\project\purchase_orders_raw.csv","Purchase-order headers for supplier and receipt-timing analysis.","19.28"
"project","02_project_inventory_order_fulfillment\purchase_order_lines_raw.csv","data\sample\project\purchase_order_lines_raw.csv","PO-line cost components for supplier-product and landed-cost analysis.","20.93"
"project","02_project_inventory_order_fulfillment\qa_events_raw.csv","data\sample\project\qa_events_raw.csv","Quality events and estimated quality costs used in supplier TCO.","2.52"
"project","02_project_inventory_order_fulfillment\sales_orders_raw.csv","data\sample\project\sales_orders_raw.csv","Customer order headers used for requested delivery and fulfillment analysis.","15.37"
"project","02_project_inventory_order_fulfillment\sales_order_lines_raw.csv","data\sample\project\sales_order_lines_raw.csv","Customer order lines used for ordered quantity and product-level fulfillment.","23.12"
"project","02_project_inventory_order_fulfillment\shipments_raw.csv","data\sample\project\shipments_raw.csv","Shipment headers used for delivery timing and fulfillment status.","30.41"
"project","02_project_inventory_order_fulfillment\shipment_lines_raw.csv","data\sample\project\shipment_lines_raw.csv","Shipment lines supporting partial-shipment and completeness analysis.","15.44"
"project","02_project_inventory_order_fulfillment\business_interventions.csv","data\sample\project\business_interventions.csv","Synthetic safety-stock and sourcing intervention dates.","0.55"
"shared","00_shared_reference\customers_raw.csv","data\sample\shared\customers_raw.csv","Customer context for fulfillment slicing.","19.37"
"shared","00_shared_reference\employees.csv","data\sample\shared\employees.csv","Employee lookup for purchasing/buyer references where applicable.","0.58"
"shared","00_shared_reference\products_raw.csv","data\sample\shared\products_raw.csv","Product master for SKU, category, cost, criticality, and inventory policy context.","3.79"
"shared","00_shared_reference\suppliers_raw.csv","data\sample\shared\suppliers_raw.csv","Supplier master for supplier reliability and sourcing analysis.","1.38"
"shared","00_shared_reference\warehouses.csv","data\sample\shared\warehouses.csv","Warehouse lookup for SKU-warehouse inventory analysis.","0.17"
"shared","00_shared_reference\product_supplier_map_raw.csv","data\sample\shared\product_supplier_map_raw.csv","Supplier-product relationship and contract assumptions.","14.73"
"reference","02_project_inventory_order_fulfillment\project_brief.csv","data\reference\project_brief.csv","Original synthetic project brief.","0.96"
"reference","02_project_inventory_order_fulfillment\tco_framework.csv","data\reference\tco_framework.csv","Reference definition for landed cost and estimated TCO components.","0.91"
