customer_id,company_name,tax_id,industry,province,customer_segment,company_size_band,credit_risk,default_payment_term,customer_since
C0001,Green Asia Vietnam,TAX100000000,Food & Beverage,Ho Chi Minh City,Standard,50-249,Medium,Net 30,2020-08-20
C0002,Scientific Advanced Vietnam,TAX100000001,Food and Beverage,Ha Noi,Strategic,1000+,Low,Net 60,2023-06-05
C0003,Vietnam Green Vietnam,TAX100000002,Medical Device,hochiminh city,Small,10-49,High,Net 30,2022-08-08
C0004,Vietnam Tech Vietnam,TAX100000003,Industrial Mfg,Ha Noi,Growth,250-999,Medium,Net 60,2021-12-19
C0005,Med Asia Vietnam,TAX100000004,Industrial Manufacturing,Ho Chi Minh City,Small,10-49,High,Net 45,2024-05-27
C0006,Lab Industrial JSC,TAX100000005,Pharmaceutical,Ho Chi Minh City,Standard,50-249,Medium,Net 30,2021-08-28
C0007,Nova Pharma Co Ltd,TAX100000006,Medical Device,Ho Chi Minh City,Standard,50-249,Medium,Net 30,2022-11-17
C0008,Clean Electronics Vietnam,,Pharmaceutical,Binh Duong,Standard,50-249,Medium,Net 30,2024-09-28
C0009,Tech Tech Factory,TAX100000008,Pharmaceutical,Dong Nai,Standard,50-249,Medium,Net 30,2023-06-09
C0010,Scientific Industrial Co Ltd,TAX100000009,Industrial Manufacturing,Ho Chi Minh City,Standard,50-249,Medium,Net 45,2022-02-19
C0011,Asia Vietnam JSC,TAX100000010,Pharmaceutical,Ho Chi Minh City,Growth,250-999,Medium,Net 45,2023-08-06
C0012,Industrial Solutions JSC,TAX100000011,Trading Company,Ho Chi Minh City,Standard,50-249,Medium,Net 30,2021-04-06
C0013,Green Bio Vietnam,TAX100000012,Trading Company,BinhDuong,Strategic,1000+,Low,Net 60,2023-06-28
C0014, Clean Health Vietnam  ,TAX100000013,Pharmaceutical,Bac Ninh,Standard,50-249,Medium,Net 30,2022-04-05
C0015,Lab Green Co Ltd,TAX100000014,Trading,Ha Noi,Standard,50-249,Medium,Net 30,2023-05-28
C0016,Lab Advanced Co Ltd,TAX100000015,Food & Beverage,Dong Nai,Standard,50-249,Medium,Net 30,2024-01-14
C0017,Advanced Vietnam Co Ltd,TAX100000016,Medical Device,Dong Nai,Standard,50-249,Medium,COD,2021-11-13
C0018,Solutions Health Vietnam,TAX100000017,Cleanroom Contractor,Ha Noi,Growth,250-999,Medium,Net 30,2020-11-22
C0019,Scientific Med Factory,TAX100000018,Trading Company,DongNai,Growth,250-999,Medium,Net 45,2023-07-22
C0020,Health Nova Co Ltd,TAX100000019,Industrial Manufacturing,Dong Nai,Standard,50-249,Medium,Net 30,2021-11-05
C0021,Solutions Clean Factory,,Pharmaceutical,Ho Chi Minh,Small,10-49,High,Net 30,2023-03-27
C0022,Bio Green Factory,TAX100000021,Electronics,HA NOI,Standard,50-249,Medium,Net 30,2020-12-13
C0023,Bio Precision JSC,TAX100000022,Electronics,DongNai,Standard,50-249,Medium,Net 45,2023-04-09
C0024,Green Scientific JSC,TAX100000023,Pharmaceutical,Bac Ninh,Standard,50-249,Medium,COD,2021-10-11
C0025,Vietnam Precision Factory,TAX100000024,Medical Device,Ho Chi Minh City,Small,10-49,High,Net 30,2022-07-08
C0026,Precision Lab JSC,TAX100000025,Trading Company,Dong Nai,Standard,50-249,Medium,Net 30,2022-09-10
C0027,Asia Clean Vietnam,TAX100000026,Electronics,HCMC,Standard,50-249,Medium,Net 60,2024-01-03
C0028,Med Bio JSC,TAX100000027,electronics,BINH DUONG,Small,10-49,High,COD,2023-04-21
C0029,Precision Asia Vietnam,TAX100000028,Cleanroom Contractor,HCMC,Small,10-49,High,Net 30,2023-07-12
C0030,Solutions Bio Vietnam,TAX100000029,Medical Device,Long An,Small,10-49,High,COD,2024-02-28
C0031,Electronics Vietnam Vietnam,TAX100000030,Laboratory,Bac Ninh,Standard,50-249,Medium,Net 45,2022-06-19
C0032, Bio Industrial Vietnam  ,TAX100000031,Industrial Manufacturing,Ho Chi Minh City,Standard,50-249,Medium,Net 60,2022-06-25
C0033,Precision Clean Co Ltd,TAX100000032,Pharmaceutical,Ha Noi,Standard,50-249,Medium,Net 45,2023-01-14
C0034,Green Lab Co Ltd,TAX100000033,Medical Device,Da Nang,Standard,50-249,Medium,Net 30,2021-02-24
C0035,Pharma Scientific Vietnam,TAX100000034,Pharmaceutical,Ho Chi Minh City,Strategic,1000+,Low,Net 45,2024-06-20
C0036,Scientific Advanced Vietnam,TAX100000035,Pharmaceutical,Dong Nai,Standard,50-249,Medium,Net 45,2023-11-20
C0037,Precision Clean Factory,TAX100000036,Pharmaceutical,Dong Nai,Standard,50-249,Medium,Net 30,2022-03-30
C0038,Solutions Manufacturing Co Ltd,TAX100000037,Medical Device,Ho Chi Minh City,Growth,250-999,Medium,Net 30,2022-07-27
C0039,Tech Health Co Ltd,TAX100000038,Electronics,Ho Chi Minh City,Strategic,1000+,Low,Net 45,2024-09-22
C0040,Vietnam Asia JSC,TAX100000039,Food & Beverage,Ho Chi Minh,Growth,250-999,Medium,Net 30,2022-02-03
C0041,Solutions Industrial Factory,TAX100000040,Pharmaceutical,hochiminh city,Standard,50-249,Medium,30 days,2023-01-14
C0042,Bio Health Co Ltd,TAX100000041,Pharmaceutical,HA NOI,Standard,50-249,Medium,Net 30,2024-01-19
C0043,Health Med Vietnam,TAX100000042,Food & Beverage,Long An,Standard,50-249,Medium,COD,2023-03-29
C0044, Scientific Industrial Factory  ,TAX100000043,Pharmaceutical,Binh Duong,Small,10-49,High,Net30,2020-11-06
C0045,Manufacturing Solutions Vietnam,TAX100000044,Cleanroom contractor,Long An,Growth,250-999,Medium,Net 60,2020-09-18
C0046,Electronics Asia Factory,TAX100000045,Food & Beverage,BacNinh,Small,10-49,High,Net 45,2023-08-29
C0047,Advanced Nova Factory,TAX100000046,Medical Device,Ho Chi Minh City,Small,10-49,High,Net 45,2021-09-02
